negative,topic,hour,tod,region
0,3,18.0,Evening,
1,5,15.0,Afternoon,
0,3,21.0,Evening,
0,7,15.0,Afternoon,
1,7,23.0,Evening,
0,7,17.0,Afternoon,
1,3,15.0,Afternoon,
0,5,23.0,Evening,
0,2,20.0,Evening,
1,5,9.0,Morning,
1,3,11.0,Morning,
0,3,0.0,Overnight,
1,3,18.0,Evening,
0,3,1.0,Overnight,
0,5,3.0,Overnight,
0,3,13.0,Afternoon,
0,5,10.0,Morning,
0,7,23.0,Evening,
0,3,14.0,Afternoon,
1,3,0.0,Overnight,
0,5,10.0,Morning,
0,3,10.0,Morning,
1,5,16.0,Afternoon,
0,3,23.0,Evening,
0,5,4.0,Overnight,
1,3,21.0,Evening,
1,7,9.0,Morning,
0,2,0.0,Overnight,
1,3,18.0,Evening,
0,3,17.0,Afternoon,
0,3,1.0,Overnight,
1,3,23.0,Evening,
0,3,21.0,Evening,
0,3,14.0,Afternoon,
0,4,10.0,Morning,
0,2,1.0,Overnight,
1,3,19.0,Evening,
1,3,17.0,Afternoon,
0,4,11.0,Morning,
0,5,18.0,Evening,
0,3,23.0,Evening,
0,3,13.0,Afternoon,
0,3,1.0,Overnight,
0,4,19.0,Evening,
0,5,9.0,Morning,
1,3,17.0,Afternoon,
1,3,22.0,Evening,
0,3,4.0,Overnight,
0,5,12.0,Afternoon,
0,3,17.0,Afternoon,
1,3,20.0,Evening,
0,3,10.0,Morning,
0,7,,,
1,3,16.0,Afternoon,
0,5,15.0,Afternoon,
1,5,12.0,Afternoon,
0,3,11.0,Morning,
0,5,10.0,Morning,
0,5,2.0,Overnight,
0,3,19.0,Evening,
0,8,9.0,Morning,
0,5,3.0,Overnight,
0,3,19.0,Evening,
0,5,15.0,Afternoon,
0,3,12.0,Afternoon,
0,7,7.0,Morning,
0,3,19.0,Evening,
0,3,1.0,Overnight,
0,7,23.0,Evening,
0,7,13.0,Afternoon,
0,3,18.0,Evening,
0,3,11.0,Morning,
0,7,22.0,Evening,
0,3,20.0,Evening,
0,1,13.0,Afternoon,
0,4,0.0,Overnight,
1,5,20.0,Evening,
1,3,1.0,Overnight,
0,7,14.0,Afternoon,
0,3,6.0,Morning,
1,7,23.0,Evening,
0,5,19.0,Evening,
0,7,19.0,Evening,
0,5,17.0,Afternoon,
0,3,13.0,Afternoon,
1,7,20.0,Evening,
0,7,16.0,Afternoon,
0,7,15.0,Afternoon,
0,3,21.0,Evening,
0,4,19.0,Evening,
0,3,18.0,Evening,
0,8,17.0,Afternoon,
0,5,17.0,Afternoon,
0,5,3.0,Overnight,
0,8,15.0,Afternoon,
0,3,13.0,Afternoon,
0,2,7.0,Morning,
0,4,12.0,Afternoon,Fujian
1,3,19.0,Evening,Zhejiang
0,7,18.0,Evening,Zhejiang
0,3,9.0,Morning,Liaoning
0,8,22.0,Evening,Fujian
0,7,12.0,Afternoon,Shandong
1,3,10.0,Morning,Shandong
0,3,11.0,Morning,Guangdong
1,3,3.0,Overnight,Zhejiang
1,3,13.0,Afternoon,Guizhou
0,5,7.0,Morning,Guangdong
1,5,12.0,Afternoon,Shanghai
1,3,23.0,Evening,Guangdong
0,3,10.0,Morning,Fujian
1,3,11.0,Morning,Fujian
0,3,6.0,Morning,Germany
0,3,16.0,Afternoon,Guangxi
1,3,23.0,Evening,Guangdong
1,3,23.0,Evening,Guangxi
1,3,21.0,Evening,Shandong
0,3,19.0,Evening,Shandong
0,3,23.0,Evening,Guangdong
1,3,4.0,Overnight,Sichuan
1,5,19.0,Evening,Heilongjiang
1,5,13.0,Afternoon,Hunan
0,4,16.0,Afternoon,Beijing
1,3,16.0,Afternoon,Shandong
1,3,14.0,Afternoon,Shanghai
0,8,10.0,Morning,Hebei
1,3,14.0,Afternoon,Hebei
1,3,14.0,Afternoon,Guangxi
